question,answer,review number,name,gender,location,overseas_place,overseas_time,domestic_place,domestic_time,overseas_number,domestic_number,,,
9,171,46,Sam.V(北京),MGenderMale,北京,,[],"北京, 青岛, 成都, 西安, 秦皇岛, 三亚, 保定, 南京, 衢州, 天津, 大连, 西塘, 杭州, 横店, 济南, 涞源, 苏州, 邯郸, 野三坡, 阳泉","['2018.10', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2018.10', '2016.11', '2016.11', '2018.10', '2016.11', '2018.10', '2016.11', '2018.12', '2016.11', '2016.11', '2018.12', '2016.11']",0,20,,,
0,13,133,温熊喵(北京),MGenderFemale,北京,"Commonwealth of the Bahamas', 'United States of America'","['2015.01', '2015.12']",,[],2,0,,,
3,14,88,哈拉の拉力(北京),MGenderMale,北京,,[],"巴彦淖尔, 阿尔山, 额济纳旗, 澳门, 厦门, 台北, 库布齐沙漠, 克什克腾旗, 上海, 垦丁, 高雄, 承德, 廊坊, 常州, 陇西, 昆明, 长沙, 北戴河, 兴安盟, 广州","['2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2017.08', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10', '2015.10']",0,20,,,
0,17,15,马桶家的二砚(北京),MGenderFemale,北京,"Ukraine', 'Thailand', 'Indonesia', 'The United Mexican States', 'United States of America', 'Malaysia'","['2018.08', '2017.09', '2018.08', '2018.08', '2018.08', '2018.04']","北京, 重庆, 厦门, 丽江, 上海, 南京, 哈尔滨, 香港","['2017.09', '2017.09', '2017.09', '2017.09', '2017.09', '2017.09', '2017.09', '2017.09']",6,8,,,
0,2,7,我是tfboys(),MGenderFemale,北京,Australia',['2018.04'],"拉萨, 花莲, 阳朔","['2015.03', '2016.02', '2015.03']",1,3,,,
5,119,7,威廉(北京),MGenderMale,北京,Korea',['2018.10'],"北京, 济南, 西宁, 海南藏族自治州, 海西","['2018.10', '2018.10', '2018.10', '2018.10', '2018.10']",1,5,,,
0,28,152,韦苡珊(北京),MGenderFemale,北京,"Czech', 'Germany', 'Austria', 'Hungary', 'Poland', 'Slovakia', 'France', 'Finland', 'Norway', 'Russia', 'United States of America', 'Israel', 'Turkey', 'Ethiopia', 'Morocco', 'New Zealand', 'Indonesia'","['2018.09', '2018.09', '2018.09', '2018.09', '2018.09', '2018.09', '2018.03', '2018.03', '2018.03', '2017.05', '2017.03', '2017.03', '2017.01', '2017.01', '2017.01', '2016.01', '2016.01']","云台山, 包头, 三亚, 哈尔滨, 长白山, 克什克腾旗, 库布齐沙漠, 西宁, 阳朔, 坎布拉, 鄂尔多斯","['2015.07', '2014.01', '2015.04', '2014.01', '2014.12', '2015.04', '2015.08', '2012.07', '2014.07', '2013.02', '2015.08']",17,11,,,
0,0,0,维尼(北京),MGenderMale,北京,,[],,[],0,0,,,
0,8,10,乔远(北京电影学院),MGenderMale,北京,,[],"大理, 成都, 北京, 苏州, 九寨沟, 武汉, 南京, 大连, 长沙, 襄阳, 丽江, 天津, 北戴河, 承德, 木兰围场, 张家界, 都江堰, 横店, 青岛, 杭州","['2013.06', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2014.05', '2015.04', '2014.05', '2012.10', '2014.05']",0,20,,,
0,0,0,马蜂窝用户(),MGenderFemale,北京,,[],,[],0,0,,,
1,44,11,凡尔赛宫的菠萝(朝阳区),MGenderFemale,北京,"United States of America', 'Norway', 'Denmark', 'Belgium', 'Finland', 'The Kingdom of Sweden', 'Japan'","['2018.09', '2018.02', '2018.02', '2013.10', '2018.02', '2018.02', '2009.09']",,[],7,0,,,
0,0,0,静狼(朝阳区),MGenderMale,北京,,[],,[],0,0,,,
0,79,103,游墨(大帝都),MGenderMale,北京,"Japan', 'Spain'","['2018.10', '2017.12']","沈阳, 敦煌, 拉萨, 杭州, 黄果树瀑布景区, 上海, 青海湖, 南昌, 北京, 西宁, 天津","['2014.10', '2014.10', '2013.10', '2013.10', '2015.07', '2013.10', '2014.03', '2014.10', '2013.10', '2013.10', '2013.10']",2,11,,,
1,0,11,cheese(海淀区),MGenderFemale,北京,Myanmar',['2014.05'],"敦煌, 张掖, 建水, 康定, 元阳","['2014.05', '2014.05', '2014.03', '2013.12', '2014.03']",1,5,,,
0,4,17,栽峦W(海淀区),MGenderFemale,北京,,[],"北京, 上海, 天津, 甘孜, 芜湖, 平遥, 赤峰, 洛阳, 阿坝, 烟台, 抚远, 哈尔滨, 格尔木, 丽江, 祁连, 长岛, 成都, 塞罕坝, 海西, 嘉兴","['2015.08', '2017.11', '2015.08', '2017.11', '2017.11', '2015.08', '2017.11', '2015.08', '2014.12', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2017.11', '2015.08', '2015.08', '2017.11']",0,20,,,
0,0,0,哦巨人(西城),MGenderFemale,北京,,[],,[],0,0,,,
0,0,16,欢乐猴(西城区),MGenderFemale,北京,"Nepal', 'Japan'","['2013.07', '2013.06']",,[],2,0,,,
2,10,24,炒鸡蛋(宣武区),MGenderMale,北京,Indonesia',['2013.01'],"拉萨, 西安, 北京, 华山, 成都, 张家口, 泸定, 蔚县","['2013.08', '2013.10', '2008.10', '2013.09', '2011.10', '2015.07', '2014.05', '2015.04']",1,8,,,
3,45,202,大咔嚓(宣武区),MGenderMale,北京,"Indonesia', 'United States of America', 'Korea', 'Japan', 'Cuba'","['2018.08', '2016.11', '2016.11', '2015.10', '2015.10']",,[],5,0,,,
2,1,1,游记总编辑(北京),,北京,,[],,[],0,0,,,
0,8,3,ir_is_qr(Chiba),MGenderFemale,Chiba,Australia',['2015.04'],,[],1,0,,,
0,2,3,menu314(Dalian),MGenderMale,Dalian,,[],丽江,['2014.05'],0,1,,,
0,0,12,"myhardcandy(goldcoast, australia)",MGenderFemale,goldcoas..,"Spain', 'Japan'","['2014.10', '2014.05']",,[],2,0,,,
0,8,13,笑漪妹妹(London),MGenderFemale,London,,[],,[],0,0,,,
70,110,84,"tulipa(London ON, Canada)",MGenderFemale,London O..,"United States of America', 'Cuba', 'Republic of Chile', 'Ecuador', 'Canada'","['2002.12', '2018.08', '2018.08', '2018.08', '2011.05']",,[],5,0,,,
0,47,87,UFO(UFO),MGenderMale,UFO,,[],"杭州, 金华, 若尔盖, 蔚县, 禾木, 同仁, 阳朔, 阿勒泰, 甘南, 昌吉, 青海湖, 西宁, 克拉玛依, 玛曲, 碌曲, 北京, 巴音郭楞","['2014.03', '2014.03', '2014.03', '2011.04', '2011.10', '2014.03', '2011.12', '2011.12', '2014.03', '2012.03', '2015.07', '2014.03', '2015.04', '2015.07', '2015.07', '2009.08', '2015.04']",0,17,,,
